source	target	relation	type	attributes
INST::364076::0::0::1::Кто	LEM::кто::PRON	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::364076::0::0::1::Кто	INST::364076::0::0::2::может	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""364076\"", \""row_idx\"": 0, \""sent_id\"": \""0\"", \""i\"": 1}""]}"
INST::364076::0::0::2::может	LEM::мочь::VERB	instance_of	instance_of	"{""type"": ""instance_of""}"
INST::364076::0::0::2::может	INST::364076::0::0::1::Кто	nsubj	dep	"{""type"": ""dep"", ""label"": ""nsubj"", ""occurrences"": [""{\""article_id\"": \""364076\"", \""row_idx\"": 0, \""sent_id\"": \""0\"", \""head_idx\"": 2, \""dep_idx\"": 1}""]}"
INST::364076::0::0::2::может	INST::364076::0::0::2::может	ROOT	dep	"{""type"": ""dep"", ""label"": ""ROOT"", ""occurrences"": [""{\""article_id\"": \""364076\"", \""row_idx\"": 0, \""sent_id\"": \""0\"", \""head_idx\"": 2, \""dep_idx\"": 2}""]}"
INST::364076::0::0::2::может	INST::364076::0::0::3::обратиться	xcomp	dep	"{""type"": ""dep"", ""label"": ""xcomp"", ""occurrences"": [""{\""article_id\"": \""364076\"", \""row_idx\"": 0, \""sent_id\"": \""0\"", \""head_idx\"": 2, \""dep_idx\"": 3}""]}"
INST::364076::0::0::2::может	INST::364076::0::0::3::обратиться	adj	adj	"{""type"": ""adj"", ""occurrences"": [""{\""article_id\"": \""364076\"", \""row_idx\"": 0, \""sent_id\"": \""0\"", \""i\"": 2}""]}"
LEM::мочь::VERB	LEM::кто::PRON	nsubj	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""nsubj"", ""count"": 8, ""doc_freq"": 2, ""samples"": ""[{\""article_id\"": \""364076\"", \""row_idx\"": 0, \""sent_id\"": \""0\"", \""head_idx\"": 2, \""dep_idx\"": 1}, {\""article_id\"": \""364076\"", \""row_idx\"": 7, \""sent_id\"": \""7\"", \""head_idx\"": 2, \""dep_idx\"": 1}, {\""article_id\"": \""364076\"", \""row_idx\"": 8, \""sent_id\"": \""8\"", \""head_idx\"": 11, \""dep_idx\"": 9}, {\""article_id\"": \""364076\"", \""row_idx\"": 9, \""sent_id\"": \""9\"", \""head_idx\"": 10, \""dep_idx\"": 9}, {\""article_id\"": \""429494\"", \""row_idx\"": 113, \""sent_id\"": \""113\"", \""head_idx\"": 2, \""dep_idx\"": 1}]""}"
LEM::мочь::VERB	LEM::мочь::VERB	ROOT	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""ROOT"", ""count"": 29, ""doc_freq"": 12, ""samples"": ""[{\""article_id\"": \""364076\"", \""row_idx\"": 0, \""sent_id\"": \""0\"", \""head_idx\"": 2, \""dep_idx\"": 2}, {\""article_id\"": \""364076\"", \""row_idx\"": 1, \""sent_id\"": \""1\"", \""head_idx\"": 15, \""dep_idx\"": 15}, {\""article_id\"": \""364076\"", \""row_idx\"": 3, \""sent_id\"": \""3\"", \""head_idx\"": 13, \""dep_idx\"": 13}, {\""article_id\"": \""364076\"", \""row_idx\"": 7, \""sent_id\"": \""7\"", \""head_idx\"": 2, \""dep_idx\"": 2}, {\""article_id\"": \""390544\"", \""row_idx\"": 61, \""sent_id\"": \""61\"", \""head_idx\"": 2, \""dep_idx\"": 2}]""}"
LEM::мочь::VERB	LEM::обратиться::VERB	xcomp	lemma_dep	"{""type"": ""lemma_dep"", ""label"": ""xcomp"", ""count"": 1, ""doc_freq"": 1, ""samples"": ""[{\""article_id\"": \""364076\"", \""row_idx\"": 0, \""sent_id\"": \""0\"", \""head_idx\"": 2, \""dep_idx\"": 3}]""}"
